Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content
Vegetable Samosa,Sikkim,Veg,Gluten,300,35,15.0,10,5,400,"Vitamin C, Vitamin B6"
Yak Meat Burger,Sikkim,Non-Veg,None,400,30,20.0,25,6,700,"Vitamin B12, Vitamin C"
Vegetable Steamed Buns,Sikkim,Veg,Gluten,200,30,5.0,7,5,400,"Vitamin C, Vitamin A"
Pork Sausages,Sikkim,Non-Veg,None,350,15,25.0,20,4,700,"Vitamin B12, Vitamin C"
Beef Kebabs,Sikkim,Non-Veg,None,300,20,25.0,30,5,600,"Vitamin B12, Vitamin C"
Vegetable Pakoras,Sikkim,Veg,Gluten,300,25,15.0,10,5,400,"Vitamin C, Vitamin B6"
Chicken Soup,Sikkim,Non-Veg,None,200,15,10.0,20,3,400,"Vitamin B12, Vitamin C"
Beef Stir Fry,Sikkim,Non-Veg,None,350,20,25.0,30,5,700,"Vitamin B12, Vitamin C"
Pumpkin Curry,Sikkim,Veg,None,200,25,5.0,8,6,300,"Vitamin A, Vitamin C"
Vegetable Korma,Sikkim,Veg,None,250,30,10.0,7,8,400,"Vitamin C, Vitamin B6"
Chicken Salad,Sikkim,Non-Veg,None,250,20,15.0,25,2,500,"Vitamin B12, Vitamin C"
Pork Ramen,Sikkim,Non-Veg,None,400,30,20.0,25,6,700,"Vitamin B12, Vitamin C"
Chili Beef,Sikkim,Non-Veg,None,350,20,25.0,30,5,700,"Vitamin B12, Vitamin C"
Pork Skewers,Sikkim,Non-Veg,None,300,20,25.0,30,4,600,"Vitamin B12, Vitamin C"
Vegetable Salad,Sikkim,Veg,None,150,15,2.0,4,3,200,"Vitamin C, Vitamin A"
Chicken Burger,Sikkim,Non-Veg,None,400,30,25.0,20,6,700,"Vitamin B12, Vitamin C"
Mutton Stew,Sikkim,Non-Veg,None,350,15,25.0,30,5,700,"Vitamin B12, Vitamin C"
Vegetable Curry,Sikkim,Veg,None,200,25,8.0,6,7,300,"Vitamin C, Vitamin A"
Pork Chops,Sikkim,Non-Veg,None,400,15,25.0,30,6,700,"Vitamin B12, Vitamin C"
Egg Salad,Sikkim,Non-Veg,None,200,5,10.0,15,2,300,"Vitamin B12, Vitamin C"
Mutton Ribs,Sikkim,Non-Veg,None,400,20,30.0,25,4,800,"Vitamin B12, Vitamin C"
Spinach Soup,Sikkim,Veg,None,150,15,5.0,5,3,200,"Vitamin A, Vitamin C"
Beef Stir Fry,Sikkim,Non-Veg,None,300,15,20.0,25,4,600,"Vitamin B12, Vitamin C"
Vegetable Tempura,Sikkim,Veg,Gluten,300,30,15.0,10,5,400,"Vitamin C, Vitamin B6"
Chicken Kababs,Sikkim,Non-Veg,None,300,20,20.0,25,4,600,"Vitamin B12, Vitamin C"
Vegetable Biryani,Sikkim,Veg,None,350,60,10.0,8,10,500,"Vitamin B1, Vitamin C"
Chicken Fried Rice,Sikkim,Non-Veg,None,350,50,15.0,20,5,600,"Vitamin B12, Vitamin C"
Pork Belly,Sikkim,Non-Veg,None,400,15,30.0,25,4,800,"Vitamin B12, Vitamin C"
Beef Chili,Sikkim,Non-Veg,None,350,20,25.0,30,6,700,"Vitamin B12, Vitamin C"
Vegetable Wrap,Sikkim,Veg,Gluten,250,30,10.0,8,5,350,"Vitamin C, Vitamin A"
Chicken Curry,Sikkim,Non-Veg,None,350,20,20.0,25,4,600,"Vitamin B12, Vitamin C"
Vegetable Tofu Stir Fry,Sikkim,Vegan,Soy,250,30,10.0,15,4,350,"Vitamin C, Vitamin B6"
Pork Ribs,Sikkim,Non-Veg,None,400,15,30.0,25,6,700,"Vitamin B12, Vitamin C"
Mutton Kebabs,Sikkim,Non-Veg,None,350,20,25.0,30,5,700,"Vitamin B12, Vitamin C"
Vegetable Udon,Sikkim,Veg,Gluten,300,60,8.0,10,5,500,"Vitamin C, Vitamin B6"
Chicken Satay,Sikkim,Non-Veg,None,250,10,20.0,25,2,500,"Vitamin B12, Vitamin C"
Yak Meat Stew,Sikkim,Non-Veg,None,350,20,20.0,25,4,700,"Vitamin B12, Vitamin C"
Pork Adobo,Sikkim,Non-Veg,None,350,15,25.0,20,5,700,"Vitamin B12, Vitamin C"
Chicken Teriyaki,Sikkim,Non-Veg,None,300,20,15.0,25,4,600,"Vitamin B12, Vitamin C"
Beef Soup,Sikkim,Non-Veg,None,300,10,20.0,25,4,600,"Vitamin B12, Vitamin C"
Chicken Ramen,Sikkim,Non-Veg,None,350,40,15.0,20,5,700,"Vitamin B12, Vitamin C"
Vegetable Stir Fry,Sikkim,Veg,None,250,30,8.0,7,4,300,"Vitamin A, Vitamin C"
Pork Dumplings,Sikkim,Non-Veg,None,250,25,15.0,20,4,500,"Vitamin B12, Vitamin C"
Chicken Tikka,Sikkim,Non-Veg,None,250,10,20.0,25,2,500,"Vitamin B12, Vitamin C"
Beef Korma,Sikkim,Non-Veg,None,400,20,25.0,30,5,800,"Vitamin B12, Vitamin C"
Pork Stir Fry,Sikkim,Non-Veg,None,350,15,20.0,25,4,700,"Vitamin B12, Vitamin C"
Chicken Samosa,Sikkim,Non-Veg,None,300,35,15.0,20,5,500,"Vitamin B12, Vitamin C"
Pork Stew,Sikkim,Non-Veg,None,350,20,25.0,30,6,700,"Vitamin B12, Vitamin C"
Chicken Pot Pie,Sikkim,Non-Veg,None,400,30,20.0,25,10,700,"Vitamin B12, Vitamin C"
Beef Curry,Sikkim,Non-Veg,None,400,20,25.0,30,6,800,"Vitamin B12, Vitamin C"
Aloo Tama,Sikkim,Veg,None,250,25,5.0,8,6,350,"Vitamin C, Vitamin A"
Chicken Kebabs,Sikkim,Non-Veg,None,300,20,20.0,25,5,600,"Vitamin B12, Vitamin C"
Beef Chops,Sikkim,Non-Veg,None,400,30,25.0,30,6,800,"Vitamin B12, Vitamin C"
Vegetable Skewers,Sikkim,Veg,None,250,30,5.0,8,4,350,"Vitamin C, Vitamin A"
Vegetable Burger,Sikkim,Veg,Gluten,300,35,15.0,10,5,400,"Vitamin C, Vitamin B6"
Chicken Wrap,Sikkim,Non-Veg,None,300,20,20.0,25,4,600,"Vitamin B12, Vitamin C"
Beef Samosa,Sikkim,Non-Veg,None,300,30,20.0,25,5,600,"Vitamin B12, Vitamin C"
Pork Stir Fry,Sikkim,Non-Veg,None,350,20,25.0,30,5,700,"Vitamin B12, Vitamin C"
Beef Ribs,Sikkim,Non-Veg,None,400,25,30.0,25,5,800,"Vitamin B12, Vitamin C"
Chicken Korma,Sikkim,Non-Veg,None,300,25,20.0,25,5,600,"Vitamin B12, Vitamin C"
Yak Meat Ribs,Sikkim,Non-Veg,None,400,25,30.0,25,5,700,"Vitamin B12, Vitamin C"
Beef Pot Roast,Sikkim,Non-Veg,None,400,20,25.0,30,6,700,"Vitamin B12, Vitamin C"
Pork Tacos,Sikkim,Non-Veg,None,300,20,20.0,25,4,600,"Vitamin B12, Vitamin C"
Chicken Noodles,Sikkim,Non-Veg,None,350,40,15.0,20,5,700,"Vitamin B12, Vitamin C"
Dal Baati Churma,Rajasthan,Veg,None,700,90,25.0,15,20,800,"Vitamin A, B, C"
Gatte ki Sabzi,Rajasthan,Veg,None,400,50,18.0,12,8,700,"Vitamin B, C"
Ker Sangri,Rajasthan,Veg,None,300,35,10.0,8,7,600,"Vitamin A, C"
Laal Maas,Rajasthan,Non-Veg,None,600,45,35.0,30,5,900,"Vitamin A, B"
Methi Thepla,Rajasthan,Veg,None,350,55,10.0,12,6,500,"Vitamin A, C"
Bajra Roti,Rajasthan,Veg,None,250,45,5.0,7,2,200,"Vitamin B, C"
Rajasthani Kachori,Rajasthan,Veg,None,500,60,25.0,10,15,800,"Vitamin A, B"
Churma Laddu,Rajasthan,Veg,None,450,65,20.0,25,35,600,"Vitamin A, C"
Roti with Pulao,Rajasthan,Veg,None,600,80,15.0,20,10,700,"Vitamin B, C"
Murg Keema,Rajasthan,Non-Veg,None,550,30,40.0,35,5,800,"Vitamin B, C"
Papad Ki Sabzi,Rajasthan,Veg,None,300,40,12.0,8,7,600,Vitamin B
Methi Malai Chicken,Rajasthan,Non-Veg,None,650,25,45.0,30,5,850,"Vitamin A, B"
Panchmel Dal,Rajasthan,Veg,None,350,50,10.0,15,6,500,"Vitamin B, C"
Dahi Ke Kebab,Rajasthan,Veg,None,400,30,20.0,15,10,600,"Vitamin B, C"
Jungli Maas,Rajasthan,Non-Veg,None,700,40,50.0,40,8,1000,"Vitamin A, B"
Sev Tameta,Rajasthan,Veg,None,300,35,15.0,10,8,550,Vitamin C
Ghevar,Rajasthan,Veg,None,500,60,25.0,30,40,700,Vitamin A
Kadhi Pakora,Rajasthan,Veg,None,400,50,20.0,15,10,600,"Vitamin B, C"
Rajasthani Biryani,Rajasthan,Veg,None,600,75,15.0,20,10,750,"Vitamin B, C"
Sangri Kachori,Rajasthan,Veg,None,500,55,25.0,20,15,800,"Vitamin A, B"
Pyaaz Kachori,Rajasthan,Veg,None,450,50,20.0,18,12,700,Vitamin A
Daal Kachori,Rajasthan,Veg,None,550,60,25.0,22,18,750,"Vitamin B, C"
Litti Chokha,Rajasthan,Veg,None,650,70,20.0,15,10,800,Vitamin B
Chane Ke Kebab,Rajasthan,Veg,None,350,40,12.0,15,8,500,Vitamin C
Bajra Khichdi,Rajasthan,Veg,None,400,60,12.0,15,8,550,"Vitamin B, C"
Rajasthani Khadi,Rajasthan,Veg,None,350,45,15.0,12,6,600,"Vitamin B, C"
Aloo Pyaz ki Sabzi,Rajasthan,Veg,None,300,40,10.0,7,5,450,Vitamin C
Gond Pak,Rajasthan,Veg,None,550,65,20.0,30,25,700,"Vitamin A, B"
Besan Chilla,Rajasthan,Veg,None,400,45,15.0,12,5,500,"Vitamin B, C"
Rajasthani Pulao,Rajasthan,Veg,None,600,70,15.0,20,10,750,Vitamin C
Jodhpuri Mirchi Vada,Rajasthan,Veg,None,500,55,25.0,20,15,800,Vitamin A
Rajma Chawal,Rajasthan,Veg,None,700,80,20.0,20,12,850,"Vitamin B, C"
Lassi,Rajasthan,Veg,Dairy,150,15,3.0,6,12,80,"Vitamin B, C"
Chaas,Rajasthan,Veg,Dairy,120,10,2.0,4,8,60,"Vitamin B, C"
Samosa,Rajasthan,Veg,None,400,50,20.0,12,10,700,Vitamin A
Dal Dhokli,Rajasthan,Veg,None,500,60,15.0,18,12,650,"Vitamin B, C"
Methi Thepla with Curd,Rajasthan,Veg,None,400,55,10.0,12,6,500,"Vitamin A, C"
Rajasthani Baingan Bharta,Rajasthan,Veg,None,350,45,12.0,10,5,600,"Vitamin A, C"
Pyaz ke Pakode,Rajasthan,Veg,None,350,40,15.0,10,10,550,Vitamin C
Pulao with Raita,Rajasthan,Veg,None,600,70,15.0,20,12,750,"Vitamin B, C"
Khasta Kachori,Rajasthan,Veg,None,500,55,25.0,20,15,750,Vitamin A
Palak Puri,Rajasthan,Veg,None,400,50,15.0,10,8,600,"Vitamin A, C"
Vegetable Pulao,Rajasthan,Veg,None,550,65,15.0,15,10,700,"Vitamin B, C"
Murg Malai Tikka,Rajasthan,Non-Veg,None,600,25,45.0,30,8,850,"Vitamin A, B"
Aloo Gobhi,Rajasthan,Veg,None,350,40,10.0,8,5,500,Vitamin C
Bhutte ka Kees,Rajasthan,Veg,None,300,40,10.0,8,6,550,"Vitamin A, C"
Tandoori Chicken,Rajasthan,Non-Veg,None,650,20,50.0,35,10,900,"Vitamin B, C"
Methi Paratha,Rajasthan,Veg,None,400,55,15.0,12,8,600,"Vitamin A, C"
Aloo Tamatar Ki Sabzi,Rajasthan,Veg,None,350,45,10.0,8,6,500,Vitamin C
Chana Masala,Rajasthan,Veg,None,400,50,15.0,15,8,600,"Vitamin B, C"
Rajasthani Rajma,Rajasthan,Veg,None,550,65,20.0,15,10,700,"Vitamin B, C"
Jaisalmeri Kachori,Rajasthan,Veg,None,500,55,25.0,20,15,750,Vitamin A
Khaman Dhokla,Rajasthan,Veg,None,300,40,8.0,12,5,500,"Vitamin B, C"
Gond Ki Laddu,Rajasthan,Veg,None,550,65,25.0,30,20,700,"Vitamin A, B"
Daal Tadka,Rajasthan,Veg,None,400,50,12.0,15,10,600,"Vitamin B, C"
Methi Pulao,Rajasthan,Veg,None,600,70,15.0,18,12,750,"Vitamin A, C"
Kachori with Aloo Curry,Rajasthan,Veg,None,600,65,25.0,20,15,800,"Vitamin A, B"
Samosa Chaat,Rajasthan,Veg,None,450,55,20.0,15,12,650,Vitamin C
Dal Pakwan,Rajasthan,Veg,None,600,75,20.0,18,15,750,"Vitamin A, C"
Chole Bhature,Rajasthan,Veg,None,700,85,25.0,20,20,900,"Vitamin B, C"
Rajasthani Ghee Ke Ladoo,Rajasthan,Veg,Dairy,550,60,30.0,25,20,800,Vitamin A
Baida Roti,Rajasthan,Non-Veg,None,600,50,25.0,30,10,850,"Vitamin B, C"
Dahi Bhalla,Rajasthan,Veg,Dairy,350,40,10.0,12,15,600,"Vitamin B, C"
Vegetable Pakora,Rajasthan,Veg,None,350,45,15.0,10,8,550,Vitamin C
Bhindi Masala,Rajasthan,Veg,None,300,35,10.0,8,7,500,Vitamin C
Lauki Kofta,Rajasthan,Veg,None,400,50,15.0,12,10,600,"Vitamin A, C"
Rajasthani Pithi,Rajasthan,Veg,None,450,55,20.0,18,12,650,Vitamin A
Chana Chaat,Rajasthan,Veg,None,350,45,8.0,15,10,500,Vitamin C
Murg Curry,Rajasthan,Non-Veg,None,650,30,40.0,35,10,900,"Vitamin B, C"
Rajasthani Halwa,Rajasthan,Veg,None,500,60,25.0,30,35,700,Vitamin A
Papad Ki Sabzi,Rajasthan,Veg,None,300,35,15.0,10,7,600,Vitamin C
Bhutte Ka Kees,Rajasthan,Veg,None,300,40,10.0,8,6,550,"Vitamin A, C"
Gatte Ki Khichdi,Rajasthan,Veg,None,500,65,12.0,15,10,600,"Vitamin B, C"
Methi Malai Kofta,Rajasthan,Veg,None,600,45,30.0,20,15,700,"Vitamin A, C"
Sangri Ki Sabzi,Rajasthan,Veg,None,350,45,12.0,10,7,600,"Vitamin B, C"
Rajasthani Kachori,Rajasthan,Veg,None,500,60,25.0,20,15,800,Vitamin A
Vegetable Biryani,Rajasthan,Veg,None,650,75,15.0,20,10,750,Vitamin C
Chole Chaat,Rajasthan,Veg,None,400,50,15.0,15,8,600,Vitamin C
Methi Ki Chutney,Rajasthan,Veg,None,200,30,5.0,8,4,400,"Vitamin A, C"
Rajasthani Kadi,Rajasthan,Veg,None,350,45,15.0,12,6,600,"Vitamin B, C"
Rajasthani Kadhi Pakora,Rajasthan,Veg,None,400,50,20.0,15,10,600,"Vitamin B, C"
Aloo Paratha,Punjab,Veg,Gluten,250,40,10.0,5,2,300,Vitamin C
Chole Bhature,Punjab,Veg,Gluten,600,70,20.0,8,5,600,"Vitamin B, Vitamin C"
Butter Chicken,Punjab,Non-Veg,Dairy,500,12,30.0,8,4,800,"Vitamin A, Vitamin B"
Dal Makhani,Punjab,Veg,Dairy,350,45,12.0,6,3,400,"Vitamin B, Vitamin C"
Palak Paneer,Punjab,Veg,Dairy,400,15,25.0,6,3,500,"Vitamin A, Vitamin C"
Rajma,Punjab,Veg,None,350,60,8.0,5,2,300,"Vitamin B, Vitamin C"
Amritsari Macchi,Punjab,Non-Veg,Fish,450,15,25.0,5,3,700,"Vitamin A, Vitamin D"
Tandoori Chicken,Punjab,Non-Veg,None,400,10,30.0,2,2,500,"Vitamin B, Vitamin C"
Kadi Pakora,Punjab,Veg,Gluten,400,30,20.0,8,4,500,Vitamin B
Methi Thepla,Punjab,Veg,Gluten,300,35,10.0,4,2,350,Vitamin C
Pindi Chole,Punjab,Veg,None,350,65,8.0,5,3,300,Vitamin B
Sarson Da Saag,Punjab,Veg,None,200,15,5.0,3,1,150,"Vitamin A, Vitamin C"
Makki Di Roti,Punjab,Veg,Gluten,250,50,5.0,1,0,200,Vitamin A
Gobi Parantha,Punjab,Veg,Gluten,275,45,8.0,4,2,300,Vitamin C
Aloo Gobi,Punjab,Veg,None,300,30,15.0,6,3,250,Vitamin C
Bhindi Masala,Punjab,Veg,None,200,20,10.0,5,2,150,Vitamin C
Dahi Bhalla,Punjab,Veg,Dairy,350,40,15.0,10,5,500,"Vitamin B, Vitamin C"
Paneer Tikka,Punjab,Veg,Dairy,250,8,20.0,2,1,400,"Vitamin A, Vitamin B"
Lassi,Punjab,Veg,Dairy,200,20,7.0,10,8,250,"Vitamin B, Vitamin D"
Kachori,Punjab,Veg,Gluten,400,55,20.0,12,5,500,Vitamin B
Tandoori Roti,Punjab,Veg,Gluten,150,30,2.0,1,1,100,Vitamin B
Chana Masala,Punjab,Veg,None,350,55,8.0,6,4,300,Vitamin B
Pulao,Punjab,Veg,None,400,65,8.0,5,3,250,Vitamin B
Kheer,Punjab,Veg,Dairy,350,45,12.0,20,10,300,"Vitamin B, Vitamin D"
Murg Malai Tikka,Punjab,Non-Veg,Dairy,400,10,30.0,3,2,500,Vitamin B
Kachori Chaat,Punjab,Veg,Gluten,450,60,20.0,10,5,600,Vitamin C
Paneer Butter Masala,Punjab,Veg,Dairy,500,20,30.0,10,4,600,"Vitamin A, Vitamin B"
Chole Chaat,Punjab,Veg,None,350,55,12.0,8,3,400,Vitamin C
Jalebi,Punjab,Veg,Gluten,300,70,10.0,30,15,200,Vitamin A
Pakora,Punjab,Veg,Gluten,250,30,15.0,12,5,300,Vitamin B
Baingan Bharta,Punjab,Veg,None,250,20,15.0,8,3,200,Vitamin C
Pindi Chole,Punjab,Veg,None,350,65,10.0,6,4,300,Vitamin B
Karela Sabzi,Punjab,Veg,None,200,15,7.0,5,2,150,Vitamin C
Samosa,Punjab,Veg,Gluten,250,30,15.0,8,4,300,Vitamin B
Aloo Methi,Punjab,Veg,None,220,20,10.0,5,2,200,Vitamin C
Chana Pulao,Punjab,Veg,None,350,55,8.0,5,3,250,Vitamin B
Khichdi,Punjab,Veg,None,300,50,8.0,3,2,200,Vitamin B
Paneer Bhurji,Punjab,Veg,Dairy,350,10,25.0,5,3,400,"Vitamin A, Vitamin C"
Butter Naan,Punjab,Veg,Gluten,250,40,10.0,6,3,400,Vitamin B
Dum Aloo,Punjab,Veg,None,300,25,12.0,6,4,250,Vitamin C
Chole Pulao,Punjab,Veg,None,400,60,8.0,5,3,300,Vitamin B
Bhindi Fry,Punjab,Veg,None,180,15,8.0,4,1,150,Vitamin C
Litti Chokha,Punjab,Veg,Gluten,400,50,10.0,8,4,300,Vitamin C
Tandoori Naan,Punjab,Veg,Gluten,230,40,7.0,3,2,350,Vitamin B
Dhokla,Punjab,Veg,Gluten,200,35,6.0,8,3,200,Vitamin B
Tandoori Aloo,Punjab,Veg,None,250,30,10.0,5,2,200,Vitamin C
Prawn Masala,Punjab,Non-Veg,Seafood,450,12,30.0,6,2,600,"Vitamin A, Vitamin B"
Veg Biryani,Punjab,Veg,None,400,65,8.0,5,4,300,Vitamin B
Masala Dosa,Punjab,Veg,Gluten,350,50,15.0,5,2,300,Vitamin C
Chole Tikki,Punjab,Veg,Gluten,300,50,15.0,7,4,350,Vitamin B
Pakora Chaat,Punjab,Veg,Gluten,450,60,20.0,10,5,600,Vitamin C
Methi Parantha,Punjab,Veg,Gluten,300,35,10.0,4,2,350,Vitamin C
Ghee Rice,Punjab,Veg,Dairy,300,60,15.0,2,1,300,Vitamin B
Gosht Korma,Punjab,Non-Veg,None,450,20,30.0,8,4,600,Vitamin A
Naan,Punjab,Veg,Gluten,220,40,7.0,2,2,350,Vitamin B
Paneer Kofta,Punjab,Veg,Dairy,400,25,20.0,8,5,400,"Vitamin A, Vitamin B"
Palak Chole,Punjab,Veg,None,300,45,10.0,6,3,250,Vitamin C
Lachha Paratha,Punjab,Veg,Gluten,350,50,15.0,6,4,350,Vitamin B
Butter Paneer,Punjab,Veg,Dairy,450,20,30.0,10,5,500,"Vitamin A, Vitamin B"
Paneer Tikka Masala,Punjab,Veg,Dairy,500,15,30.0,8,6,600,"Vitamin A, Vitamin C"
Amritsari Chole,Punjab,Veg,None,350,60,8.0,6,3,300,Vitamin B
Dal Tadka,Punjab,Veg,None,350,45,10.0,7,2,300,Vitamin B
Chana Chaat,Punjab,Veg,None,250,40,5.0,7,4,200,Vitamin C
Aloo Gobhi,Punjab,Veg,None,300,20,15.0,6,3,250,Vitamin C
Rajma,Punjab,Veg,None,350,60,8.0,5,2,300,Vitamin B
Kashmiri Dum Aloo,Punjab,Veg,None,300,25,15.0,6,4,250,Vitamin C
Vegetable Pulao,Punjab,Veg,None,400,60,8.0,5,3,250,Vitamin B
Chole,Punjab,Veg,None,350,60,10.0,7,5,300,Vitamin B
Rajma Chawal,Punjab,Veg,None,400,65,8.0,5,4,300,Vitamin B
Aloo Parantha,Punjab,Veg,Gluten,250,40,10.0,5,2,300,Vitamin C
Aloo Gobi,Punjab,Veg,None,300,20,15.0,6,3,250,Vitamin C
Soya Dosa,Puducherry,Vegan,Soy,230,40,8.0,9,2,210,"Vitamin A, Vitamin B"
Prawn Curry,Puducherry,Non-Veg,Shellfish,320,15,20.0,25,4,370,"Vitamin B12, Vitamin D"
Chettinad Chicken,Puducherry,Non-Veg,None,450,10,30.0,38,3,580,"Vitamin B6, Vitamin C"
Idiyappam,Puducherry,Veg,Gluten,180,35,4.0,5,0,120,"Vitamin B1, Vitamin B3"
Mutton Biryani,Puducherry,Non-Veg,None,550,55,25.0,35,6,620,"Vitamin B12, Vitamin D"
Vatha Kuzhambu,Puducherry,Veg,None,150,25,6.0,4,2,170,"Vitamin C, Vitamin B2"
Coconut Rice,Puducherry,Vegan,Coconut,240,35,10.0,6,1,280,"Vitamin E, Vitamin B"
Karuvadu Curry,Puducherry,Non-Veg,Fish,300,18,16.0,22,1,430,"Vitamin D, Vitamin B12"
Paal Payasam,Puducherry,Veg,Dairy,350,60,8.0,6,35,120,"Vitamin B2, Vitamin A"
Vegetable Kurma,Puducherry,Veg,None,200,20,8.0,5,6,300,"Vitamin C, Vitamin B6"
Fish Fry,Puducherry,Non-Veg,Fish,380,12,28.0,30,2,480,"Vitamin D, Omega-3"
Paneer Masala,Puducherry,Veg,Dairy,400,25,24.0,18,7,250,"Vitamin A, Vitamin B12"
Adai,Puducherry,Vegan,None,220,30,10.0,8,2,180,"Vitamin B1, Vitamin C"
Thenga Podi,Puducherry,Vegan,None,210,20,14.0,6,1,190,"Vitamin E, Vitamin B"
Tamarind Rice,Puducherry,Vegan,None,250,40,10.0,5,2,200,"Vitamin B3, Vitamin B1"
Meen Kozhambu,Puducherry,Non-Veg,Fish,320,10,18.0,25,1,470,"Vitamin D, Omega-3"
Kozhukattai,Puducherry,Veg,Gluten,180,35,5.0,4,0,110,"Vitamin B6, Vitamin B12"
Sambar,Puducherry,Veg,None,140,15,6.0,6,3,300,"Vitamin A, Vitamin C"
Aloo Poriyal,Puducherry,Vegan,None,210,35,8.0,3,1,220,"Vitamin C, Vitamin B6"
Thayir Sadam,Puducherry,Veg,Dairy,190,30,5.0,7,3,140,"Vitamin A, Vitamin B2"
Keerai Masiyal,Puducherry,Vegan,None,150,12,6.0,5,2,150,"Vitamin A, Vitamin C"
Rava Kesari,Puducherry,Veg,Gluten,380,50,12.0,6,40,110,"Vitamin B6, Vitamin A"
Egg Curry,Puducherry,Non-Veg,Egg,270,12,18.0,18,2,320,"Vitamin D, Vitamin B12"
Beetroot Poriyal,Puducherry,Vegan,None,130,20,5.0,2,6,110,"Vitamin C, Vitamin B9"
Chow Chow Kootu,Puducherry,Vegan,None,140,18,8.0,5,2,180,"Vitamin C, Vitamin A"
Paruppu Usili,Puducherry,Veg,None,200,25,12.0,8,1,220,"Vitamin B6, Vitamin A"
Pongal,Puducherry,Veg,None,320,40,10.0,8,4,270,"Vitamin B1, Vitamin B3"
Banana Chips,Puducherry,Vegan,None,250,30,15.0,3,5,210,"Vitamin A, Vitamin C"
Chicken Fry,Puducherry,Non-Veg,None,420,10,28.0,35,1,490,"Vitamin B6, Vitamin B12"
Puli Kuzhambu,Puducherry,Vegan,None,180,25,8.0,5,1,150,"Vitamin C, Vitamin A"
Curd Rice,Puducherry,Veg,Dairy,220,35,6.0,8,3,160,"Vitamin B2, Vitamin A"
Thattai,Puducherry,Vegan,None,200,22,10.0,5,2,150,"Vitamin B1, Vitamin E"
Avial,Puducherry,Veg,None,180,18,8.0,4,2,130,"Vitamin A, Vitamin C"
Shrimp Fry,Puducherry,Non-Veg,Shellfish,310,12,20.0,24,1,390,"Vitamin B12, Vitamin D"
Rasam,Puducherry,Vegan,None,100,12,4.0,2,3,180,"Vitamin C, Vitamin A"
Kara Chutney,Puducherry,Vegan,None,80,5,4.0,2,1,130,"Vitamin C, Vitamin A"
Egg Bhurji,Puducherry,Non-Veg,Egg,210,6,14.0,16,2,240,"Vitamin D, Vitamin B12"
Kuzhi Paniyaram,Puducherry,Veg,Gluten,180,22,8.0,6,2,160,"Vitamin B1, Vitamin C"
Ellu Podi,Puducherry,Vegan,Sesame,150,8,12.0,4,1,110,"Vitamin E, Vitamin B1"
Cabbage Poriyal,Puducherry,Vegan,None,120,10,6.0,3,2,100,"Vitamin C, Vitamin A"
Masala Vada,Puducherry,Vegan,None,250,22,12.0,6,3,160,"Vitamin B6, Vitamin C"
Thengai Chutney,Puducherry,Vegan,Coconut,120,8,8.0,2,1,90,"Vitamin E, Vitamin B6"
Vendakkai Fry,Puducherry,Vegan,None,160,14,10.0,4,2,130,"Vitamin C, Vitamin B9"
Sweet Pongal,Puducherry,Veg,Dairy,320,55,10.0,6,30,100,"Vitamin B1, Vitamin A"
Egg Appam,Puducherry,Non-Veg,Egg,280,35,12.0,12,4,250,"Vitamin D, Vitamin B12"
Milagu Rasam,Puducherry,Vegan,None,90,10,3.0,2,1,160,"Vitamin C, Vitamin B6"
Mango Pachadi,Puducherry,Vegan,None,150,18,6.0,3,10,90,"Vitamin A, Vitamin C"
Kothamalli Thokku,Puducherry,Vegan,None,120,6,8.0,2,2,100,"Vitamin A, Vitamin C"
Mutton Chukka,Puducherry,Non-Veg,None,420,5,32.0,38,1,540,"Vitamin B12, Vitamin B6"
Ulli Theeyal,Puducherry,Vegan,None,190,25,10.0,4,3,160,"Vitamin C, Vitamin A"
Kadala Curry,Puducherry,Vegan,None,230,30,8.0,10,2,210,"Vitamin B6, Vitamin B1"
Chicken Kulambu,Puducherry,Non-Veg,None,400,12,26.0,30,2,500,"Vitamin B6, Vitamin D"
Paniyaram,Puducherry,Veg,None,180,20,8.0,5,2,140,"Vitamin B1, Vitamin B2"
Murukku,Puducherry,Vegan,None,250,30,12.0,6,3,200,"Vitamin B1, Vitamin B6"
Kappa,Puducherry,Vegan,None,140,28,4.0,1,1,100,"Vitamin C, Vitamin B9"
Pakhala Bhata,Odisha,Vegan,None,120,22,1.0,3,1,40,Vitamin B
Dalma,Odisha,Veg,None,200,30,5.0,10,4,70,"Vitamin A, C"
Chuda Ghasa,Odisha,Vegan,None,150,30,2.0,5,2,50,Vitamin B
Macha Tarkari,Odisha,Non-Veg,Fish,250,10,15.0,25,3,80,"Vitamin A, D"
Kanika,Odisha,Veg,None,230,45,6.0,8,5,90,Vitamin B
Raja Chura,Odisha,Vegan,None,180,35,3.0,6,2,60,Vitamin C
Khatta,Odisha,Veg,None,120,20,1.0,2,10,50,Vitamin C
Dahi Bara Aloo Dum,Odisha,Veg,Dairy,350,50,10.0,15,12,100,"Vitamin B, C"
Aloo Posto,Odisha,Veg,None,220,30,8.0,4,2,70,Vitamin C
Ambila,Odisha,Veg,None,190,25,4.0,7,4,60,"Vitamin A, C"
Santula,Odisha,Veg,None,150,20,2.0,4,3,50,Vitamin C
Khichdi,Odisha,Veg,None,200,35,3.0,8,2,60,Vitamin B
